ItemNumber,Description,PrimaryVendorNumber,VendorItem,MfgId,MfgName,MfgItemCount,LastCost,StdCost,AvgCost,Revision,ItemLeadTime,DefaultWhse,TotalQty
23-10085-0687,"CAP EL 680uF/16V 20% VLESR105C RADIAL 10mmDX20mmH 5mmLS RoHS",DIG100,"RNU1C681MDN1PH",NIC500,"Nichicon",1,0.580000000000000000,0.580000,0.589975,,84,ELANSR,246.000000
23-10086-0107,"CAP EL SM 100UF 50V 20PCT 105C 8.25MMD 10.0MMH",TTI100,"UUD1V101MNL1GS",NIC500,"Nichicon",1,0.144000000000000000,0.145000,0.141805,,161,ELANSR,412.000000
23-10087-0156,"CAP EL 15uF/400V 20% 105C RADIAL 12.5mmD x 5mmLS RoHS",DIG100,"EEU-EE2G150",PAN500,"Panasonic",1,0.766000000000000000,0.625790,0.625790,,98,ELANSR,55.000000
23-10087-0226,"CAP EL 22uF/400V 20% 105C RADIAL 12.5mmD x 5mmLS RoHS",TTI100,"UCS2G220MHD",NIC501,"Nichicon BULK",2,0.399000000000000000,0.338712,0.394224,,147,ELANSR,1252.000000
23-10088-0226,"CAP EL 22uF/35V 20% 105C  5.00mmD x 2mmLS RoHS",TTI100,"EEU-FC1V220H",,,1,0.103000000000000000,0.072316,0.072316,,98,ELANSR,1884.000000
23-10089-0478,"CAP EL 4700uF/400V 20% 105C RADIAL 30mmD x 10mmLS RoHS",TTI100,"LLS1H472MELB",NIC500,"Nichicon",4,1.390000000000000000,1.387488,1.387488,,189,ELANSR,188.000000
23-10091-0105,"CAP EL SM 1UF 400V 20% 105C 8MMD 10.2MMH",DIG100,"493-9985-2-ND",,,2,0.174000000000000000,0.174000,0.174000,,135,ELANSR,450.000000
23-10092-0686,"CAP EL 68uF/450V 20% 105C RADIAL 12.5mmDX40mmH 5mmLS RoHS",,"",,,2,1.328000000000000000,1.328000,1.328000,,90,ELANSR,0.000000
23-10093-0107,"CAP EL 100UF 63V 20% 85C RADIAL 10mmD x 9mmH x 5mmLS RoHS",TTI100," UVR1J101MPD1TD",,,5,0.072000000000000000,0.072000,0.073351,,161,ELANSR,1296.000000
23-10099-0227,"CAP EL SM 220UF 10V 20PCT 105C 6.25MMD 6.1MMH",SHE107,"EEE-FN1A221UP",PAN503,"Panasonic",6,0.109000000000000000,0.109000,0.109000,,0,ELANSR,785.000000
23-10100-0277,"CAP AL POLY 270uF/16V 20% 105C RADIAL 10mmD X 5mmLS RoHS",DIG100,"RR71C271MDN1PH",NIC500,"Nichicon",1,0.579000000000000000,0.342883,0.383961,,126,ELANSR,907.000000
23-10100-0827,"CAP AL POLY 820UF 16V 20PCT 105C RADIAL 10MMD x 5MMLS",DIG100,"RNE1C821MDN1PH",NIC500,"Nichicon",1,0.913000000000000000,0.725779,0.725779,,126,ELANSR,266.000000
23-10101-0227,"CAP EL 220UF  10V 20% 85C RADIAL 8mmD x 11.5mmH x 5mmLS RoHS",SHE107,"RGA221M1ETA-0811",LEL500,"Lelon",2,0.010212591986917400,0.010213,0.010213,,98,WWC,3700.000000
23-10102-0106,"CAP EL 10UF 35V 20% 105C RADIAL 5mmd x 11mmH x 2mmLS RoHS",SUR100,"12201-1003-2304-EIL",,,2,0.007500000000000000,0.007500,0.007500,,70,ELANSR,0.000000
23-10104-0227,"CAP EL 220uF 20% 50VDC SMT 10mmD x 10mmH 1000hrs@105C RoHS",DIG100,"UWT1H221MNL1GS",NIC501,"Nichicon",4,0.337133333333333000,0.000000,0.337133,,0,ELANSR,782.000000
23-10104-0337,"CAP EL 330uF 50V 20% VLESR105C SMT RoHS",DIG100,"EMZR500ADA331MJA0G",,,6,0.237000000000000000,0.317289,0.355647,,84,ELANSR,309.000000
23-10105-0827,"CAP AL POLY SM 820UF 16V 20PCT 105C 10MMD 12.5MMH",TTI100,"PCG1C821MCL1GS",NIC500,"Nichicon",1,0.854400000000000000,0.854400,0.854400,,119,ELANSR,0.000000
23-10106-0127,"CAP AL POLY 120UF 20V 20PCT 105C SMT 6.25MMD RoHS",DIG100,"565-4530-2-ND",,,2,0.212000000000000000,0.212000,0.217369,,56,ELANSR,120.000000
23-10107-0107,"CAP EL 100UF 63V 20% 105C SMT RoHS",,"",,,2,0.284080000000000000,0.284080,0.284080,,98,ELANSR,0.000000
23-10108-0103,"Cap - .01uF, 5%, 63V, MF, RADIAL",ARR100,"B32529C103J189",EPC500,"EPCOS - TDK Electronics",2,0.047500000000000000,0.056000,0.056000,,98,ELANSR,0.000000
23-10110-0105,"CAP TANT 1UF 10% 25V 1206 RoHS",DIG100,"TAJA105K025RNJ",KYO500,"Kyocera",1,0.067940000000000000,0.000000,0.067940,,0,ELANSR,1555.000000
23-10111-0226,"CAP EL SM 22UF 35V 20PCT 105C 4MMD 6.1MMH",DIG100,"PCE5012TR-ND",,,1,0.091000000000000000,0.091000,0.100718,,126,ELANSR,258.000000
23-10112-0106,"EOL! CAP EL SM10UF 5V20PCT85C 5MMD 4.6MMH 5.25MMLS LESR RoHS",MOU100,"UZS1E100MCL1GB",NIC500,"Nichicon",1,0.112000000000000000,0.112000,0.121295,,126,ELANSR,418.000000
23-10113-0106,"Obsolete11/22 CAPEL SM10UF35V 20PCT85C5MMD3.9MMH5.25MMLSLESR",TTI100,"UZR1V100MCL1GB",NIC500,"Nichicon",1,0.147500000000000000,0.147500,0.138816,,0,ELANSR,1217.000000
23-10115-0477,"CAP EL 470uF35V 20% 85C RADIAL 10mmD X 16mmH 5mmLS 2MOD RoHS",DIG100,"UVR1V471MPD1TD",NIC501,"Nichicon",3,0.088000000000000000,0.099623,0.099623,,133,ELANSR,336.000000
23-10116-0156,"CAPEL 15uF/450V20%125CRadial12.5mmD x 5mmLSRoHS(TR)",YIY100,"211011CD11GC-A1020",HOW500,"Howlet",3,0.625560000000000000,0.364806,0.585464,,0,ELANSR,1456.000000
