ItemNumber,Description,PrimaryVendorNumber,VendorItem,MfgId,MfgName,MfgItemCount,LastCost,StdCost,AvgCost,Revision,ItemLeadTime,DefaultWhse,TotalQty
EC-010-052SA,Do not order changed to EC-010- 052A002SA  Viking Fridge MC,SUR100,EC-010-052SA,,,0,81.71,81.377963,96.66,G,7,ELANSR,0
EC-010-052SASMT,SMT portion of Viking fridge MC,,,,,0,0,34.460792,34.54,G,14,ELANSR,0
EC-010-052SATH,TH portion of Viking Fridge MC,,,,,0,0,34.036817,24.06,G,14,ELANSR,0
EC-010-053,"Crisper UI, Viking Fridge",,,,,0,5.166903,19.860295,5.166903,,7,ELANSR,0
EC-010-053SA,"Sub-Assembly, Viking Crisper UI",,,,,0,6.234457,6.653198,6.17707,,7,ELANSR,0
EC-010-054,"Cooktop LED Daughter, Viking Range",,,,,0,7.773473,0.447693,7.73,INA,7,ELANSR,0
EC-010-054SA,"Sub Assembly, Viking Cooktop LED Daughter",,,,,0,0,0,0,,7,ELANSR,0
EC-010-055,Viking Induction Switch,,,,,0,5.11994,5.126995,5.11994,A,7,ELANSR,0
EC-010-055SA,"Subassembly, EC-010-055 Induction Switch",,,,,0,4.964946,4.96471,4.964946,A,7,ELANSR,0
EC-010-055SASMT,SMT portion for Viking Induction Switch,,,,,0,0.074946,0.07471,0.074946,A,14,ELANSR,0
EC-010-055SATH,TH portion for Viking Induction Switch,,,,,0,4.89,4.89,4.89,A,14,ELANSR,0
EC-010-060,TOD LED Bluetooth,,,,,0,0,0,0,,7,ELANSR,0
EC-010-061,Viking Bluetooth Module,,,,,0,0,0,0,,7,ELANSR,0
EC-010-063,Final Assembly of Power Factor Correction,,,,,0,16.545126,15.350551,16.545126,A,7,ELANSR,2
EC-010-063SA,Subassembly of Power Factor Correction,,,,,0,14.579873,13.257395,14.579873,A,7,ELANSR,0
EC-010-063SASMT,SMT portion of Power Factor Correction,,,,,0,3.048669,2.965535,2.96,A,14,ELANSR,0
EC-010-063SATH,TH portion of Power Factor Correction,,,,,0,11.619873,10.29186,11.619873,A,14,ELANSR,0
EC-010-064,TOD LED Service Tool,,,,,0,23.035055,22.819196,23.06,A,7,ELANSR,0
EC-010-064SA1,Service Clock Adapter Board for TOD-LED,,,,,0,0.876312,1.027518,0.9,X1,7,ELANSR,0
EC-010-065,DSI Adapter,,,,,0,8.016633,9.774845,8.63,A,7,ELANSR,0
EC-010-066,"Warming Drawer, Viking",,,,,0,14.84563934,16.427413,14.845639,B,7,ELANSR,0
EC-010-066SA,Finished Subassembly EC-010-066 Warming Drawer,,,,,0,13.209571,14.747176,13.210673,B,7,ELANSR,0
EC-010-066SA1,"Warming Drawer UI, Viking",,,,,0,1.873978,1.676474,1.873978,B,7,ELANSR,0
EC-010-066SA1SMT,SMT Portion of EC-010-066 - Warming Drawer UI,,,,,0,0.908978,0.711474,0.908978,B,7,ELANSR,0
EC-010-066SA1TH,TH Portion of EC-010-066 - Warming Drawer UI,,,,,0,0.965,0.965,0.965,B,7,ELANSR,0
EC-010-066SA2,"Warming Drawer MC, Viking",,,,,0,11.335593,13.070702,11.335593,B,7,ELANSR,0
EC-010-066SA2SMT,SMT portion of Warm. Drawer MC,,,,,0,6.261228,7.051257,6.261228,B,7,ELANSR,0
EC-010-066SA2TH,TH  portion of Warm. Drawer MC,,,,,0,5.061287,6.019445,5.074365,B,7,ELANSR,0
EC-010-067,5~12v Switching Power Supply,,,,,0,11.909543,13.637527,11.907186,B,7,ELANSR,77
EC-010-067A001,5V 15W Power Supply w/ Zero Cross,,,,,0,14.049664,13.296747,11.6,B,7,ELANSR,0
EC-010-067A002,12V 15W Power Supply w Zero Cross,,,,,0,14.049664,13.243056,11.54,B,7,ELANSR,0
EC-010-067A003,12V 15W Power Supply w/o Zero Cross,,,,,0,14.049664,13.021362,11.24,B,7,ELANSR,0
EC-010-068,Universal Lighting Control (ULC),,,,,0,28.2128325,26.736869,28.212833,D,7,ELANSR,7
EC-010-068SA,Subassembly ULC,,,,,0,25.410479,23.989105,25.469916,D,7,ELANSR,0
EC-010-068SASMT,SMT Portion of ULC,,,,,0,12.91413,11.929835,12.918087,D,14,ELANSR,0
EC-010-068SATH,TH portion of ULC,,,,,0,12.492392,12.05927,12.492392,D,14,ELANSR,0
EC-010-069A001,Small LED Bezel (Viking),,,,,0,8.260178,7.067389,8.260178,C,7,ELANSR,0
EC-010-069A001SA,Subassembly for Small LED Bezel (Viking),SUR100,EC-010-069-001SA,,,0,8.2535,7.054651,8.2535,C,7,ELANSR,0
EC-010-069A001SASMT,SMT Portion Subassembly Small LED Bezel (Viking),,,,,0,0,7.054651,7,C,14,ELANSR,0
EC-010-069A001SATH,TH Portion Subassembly Small LED Bezel (Viking),,,,,0,0,0,3.78,B,14,ELANSR,0
EC-010-069A002,Universal Lighting Control Large Bezel,,,,,0,9.430823402,0.263567,9.430823,D,7,ELANSR,256
EC-010-069A002SA,Subassembly of ULC Large Bezel,CMP100,EC-010-069A002SA,,,0,7.39,0,7.387599,D,7,ELANSR,0
EC-010-069A002SASMT,SMT portion of ULC Large Bezel,,,,,0,5.041879,0,5.041879,C,14,ELANSR,0
EC-010-069A002SATH,TH portion of ULC Large Bezel (Inactive),,,,,0,4.202004,1.129578,4.21,B,14,ELANSR,0
EC-010-069B001,LED Bezel Small Rose Gold,,,,,1,8.260746,12.702961,8.260746,A,7,ELANSR,0
EC-010-069B001SA,SA of LED Small Bezel Rose Gold (SS),SUR100,,,,0,8.2535,12.689422,8.2535,A,7,ELANSR,0
EC-010-069B002,LED Large Bezel Rose Gold,,,,,1,8.497619,-0.344206,8.497619,B,7,ELANSR,0
EC-010-069B002SA,SA for LED Large Bezel Rose Gold,SUR100,,,,0,8.497,10.337519,8.497,B,7,ELANSR,0
EC-010-070,Viking EOC8,,,,,0,64.0581965,98.522112,64.0583,C,7,ELANSR,0
